GUID|COUNT|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10 
4164|1|Multimedia slide/presentation|||||||||
4171|1|Multimedia slide/presentation|||||||||
4178|1|Multimedia slide/presentation|||||||||
4185|1|Multimedia slide/presentation|||||||||
4192|2|Image|Multimedia slide/presentation||||||||
4199|2|Image|Multimedia slide/presentation||||||||
4206|2|Image|Multimedia slide/presentation||||||||
4213|1|Multimedia slide/presentation|||||||||
4220|||||||||||
4227|||||||||||
4234|||||||||||
4241|||||||||||
4248|||||||||||
4255|||||||||||
4262|||||||||||
4269|||||||||||
4276|1|Multimedia slide/presentation|||||||||
4283|1|Multimedia slide/presentation|||||||||
4290|1|Multimedia slide/presentation|||||||||
4297|1|Multimedia slide/presentation|||||||||
4304|1|Multimedia slide/presentation|||||||||
4311|1|Multimedia slide/presentation|||||||||
4318|1|Multimedia slide/presentation|||||||||
4325|1|Multimedia slide/presentation|||||||||
4332|||||||||||
4339|||||||||||
4346|||||||||||
4353|||||||||||
4360|||||||||||
4367|||||||||||
4374|||||||||||
4381|||||||||||
4388|||||||||||
4395|||||||||||
4402|||||||||||
4409|||||||||||
4416|||||||||||
4423|||||||||||
4430|||||||||||
4437|||||||||||
4444|||||||||||
4451|||||||||||
4458|||||||||||
4465|||||||||||
4472|||||||||||
4479|||||||||||
4486|||||||||||
4493|||||||||||
4500|||||||||||
4507|||||||||||
4568|||||||||||
4575|||||||||||
4582|||||||||||
4589|||||||||||
4596|||||||||||
4603|||||||||||
4610|||||||||||
4633|||||||||||
4640|||||||||||
4799|1|Image|||||||||
4813|2|Sketch/graphical annotation|Image||||||||
4820|2|Sketch/graphical annotation|Image||||||||
4827|2|Sketch/graphical annotation|Image||||||||
4865|1|Sketch/graphical annotation|||||||||
4873|1|Sketch/graphical annotation|||||||||
5476|||||||||||
5483|||||||||||
5490|||||||||||
5497|||||||||||
5504|||||||||||
5511|||||||||||
5518|||||||||||
5539|||||||||||
5554|||||||||||
5561|||||||||||
5568|||||||||||
5575|||||||||||
5582|||||||||||
5589|||||||||||
5596|||||||||||
5603|||||||||||
5610|||||||||||
5617|||||||||||
5624|||||||||||
5631|||||||||||
5638|||||||||||
5645|||||||||||
5652|||||||||||
8163|||||||||||
11464|||||||||||
12246|||||||||||
12253|||||||||||
12715|||||||||||
12736|||||||||||
15209|||||||||||
15608|||||||||||
15615|||||||||||
15622|||||||||||
15629|||||||||||
15636|||||||||||
15643|||||||||||
15650|||||||||||
15657|||||||||||
15664|||||||||||
15671|||||||||||
15678|||||||||||
15685|||||||||||
15692|||||||||||
15699|||||||||||
15706|||||||||||
15713|||||||||||
15720|||||||||||
21804|||||||||||
